"","HCC1806","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8248","HSP90AB1",11.9494313785221,11.9494313785221,118.744999458155,2.99755893967367e-11,3.86513028572806e-07,7.61435767790814
"6884","GAPDH",12.1425399328227,12.1425399328227,103.308701381986,6.84916813838937e-11,3.86513028572806e-07,7.58615334479315
"2599","CANX",10.9911494356279,10.9911494356279,101.444211076098,7.63078308983065e-11,3.86513028572806e-07,7.58187002567739
"8265","HSPA8",11.4642952266044,11.4642952266044,91.6314993729643,1.39542372953145e-10,3.86513028572806e-07,7.55497496752836
"14392","NPM1",11.0662078467161,11.0662078467161,91.0451474986605,1.44959390792467e-10,3.86513028572806e-07,7.55309531708562
"21939","TUBA1C",10.1038609398592,10.1038609398592,87.7799289199768,1.80030243346632e-10,3.86513028572806e-07,7.54195153922117
"13774","MYH9",10.0197685160923,10.0197685160923,86.8844176060911,1.91321649957642e-10,3.86513028572806e-07,7.53868066306654
"21948","TUBB",11.4946735517906,11.4946735517906,85.8746852067547,2.05059816518415e-10,3.86513028572806e-07,7.53487318039363
"22052","UBC",10.6767656023462,10.6767656023462,82.1477533103056,2.66800830164971e-10,3.86513028572806e-07,7.51962675440766
"8085","HNRNPK",10.109105808095,10.109105808095,81.2753305318519,2.84244737609166e-10,3.86513028572806e-07,7.51576250039489
"17898","RPS8",9.85526379875125,9.85526379875125,80.683817598352,2.96831185912799e-10,3.86513028572806e-07,7.51307351013908
"21938","TUBA1B",10.8663887404265,10.8663887404265,80.1032099738558,3.09823340628992e-10,3.86513028572806e-07,7.51037811604767
"5263","EEF1G",10.5182157709774,10.5182157709774,79.711661369695,3.18960441263149e-10,3.86513028572806e-07,7.5085283096729
"15935","PKM",11.4231689900569,11.4231689900569,79.4813467311833,3.24482009406667e-10,3.86513028572806e-07,7.50742791793537
"17878","RPS3",10.1558528464197,10.1558528464197,78.9350497043101,3.38031616884053e-10,3.86513028572806e-07,7.50478068573466
"5264","EEF2",10.8089488932542,10.8089488932542,77.7463906396864,3.69864704013052e-10,3.86513028572806e-07,7.49883432302701
"16771","PSMD2",9.88748529237685,9.88748529237685,77.5177335606925,3.76382985700588e-10,3.86513028572806e-07,7.49766021266876
"17757","RPL10",9.8587425348506,9.8587425348506,77.477806849449,3.77534883832177e-10,3.86513028572806e-07,7.49745417228198
